AR,1_0__3_1_DgnsAR,B_cat,1_0__3_1_DgnsB_Cat_1_3,FRA1,1_0__3_1_DgnsFRA1_1_3,PYG,1_0__3_1_DgnsPYG,TCF,1_0__3_1_DgnsTCF,Cx43,1_0__3_1_DgnsCx43
6.84,0,2.26,0,5.26,0,0.31,0,1.92,0,7.09,0
5.12,0,2.25,0,4.65,0,0.5,0,1.59,0,6.08,0
2.01,0,2.18,0,4.56,0,0.67,0,1.43,0,5.78,0
1.56,0,2.16,0,4.21,0,0.92,0,1.4,0,5.63,0
1.3,0,2.14,0,4.1,0,0.96,0,1.35,0,5.53,0
1.24,0,2.08,0,3.69,0,0.99,0,1.17,0,4.15,0
1.02,0,2.07,0,3.56,0,1.09,0,1.14,0,3.65,0
0.93,0,2,0,3.56,0,1.3,0,1.14,0,2.86,0
0.87,0,1.92,0,3.01,0,1.33,0,0.91,0,0.77,0
0.06,0,1.87,0,2.98,0,1.4,0,0.88,0,0.73,0
0.04,0,1.67,0,2.12,0,1.5,0,0.58,0,0.73,0
0.01,0,3.01,1,4.99,1,1.77,0,0.48,0,0.52,0
1.32,1,3.01,1,4.94,1,1.8,0,0.35,0,0.45,0
1.12,1,2.9,1,4.92,1,2.8,1,2.98,1,0.34,0
1.01,1,2.8,1,4.28,1,2.56,1,2.95,1,0.2,0
0.89,1,2.76,1,3.89,1,2.5,1,2.75,1,1.32,1
0.71,1,2.32,1,3.61,1,2.5,1,2.01,1,1.12,1
0.63,1,2.13,1,2.98,1,2.43,1,1.98,1,1.01,1
0.42,1,2.13,1,2.37,1,2.36,1,1.98,1,0.89,1
0.1,1,2.11,1,2.34,1,2.32,1,1.91,1,0.71,1
0.1,1,2.05,1,2.27,1,1.89,1,1.9,1,0.63,1
0.1,1,2.01,1,2.22,1,1.8,1,1.8,1,0.42,1
0.1,1,2.01,1,2.2,1,1.67,1,1.75,1,0.1,1
0.1,1,1.25,1,2.08,1,1.43,1,1.74,1,0.1,1
0.02,1,,,,,1.34,1,1.56,1,0.1,1
0.01,1,,,,,1.14,1,1.55,1,0.1,1
0.01,1,,,,,,,,,0.1,1
,,,,,,,,,,0.02,1
,,,,,,,,,,0.01,1
,,,,,,,,,,0.01,1
